,stim1,stim2,similarity
186,camera_5_30.jpg,guitar_2_30.jpg,0.055417866
187,camera_5_30.jpg,guitar_3_30.jpg,0.055134676
188,camera_5_30.jpg,guitar_4_30.jpg,0.06740645
189,camera_5_30.jpg,guitar_5_30.jpg,0.067673214
190,camera_5_30.jpg,lamp_1_30.jpg,0.08668721
191,camera_5_30.jpg,lamp_2_30.jpg,0.088802375
192,camera_5_30.jpg,lamp_3_30.jpg,0.094891615
193,camera_5_30.jpg,lamp_4_30.jpg,0.10595987
194,camera_5_30.jpg,lamp_5_30.jpg,0.092919275
195,car_1_30.jpg,car_2_30.jpg,0.9999312
196,car_1_30.jpg,car_3_30.jpg,0.999976
197,car_1_30.jpg,car_4_30.jpg,0.9994558
198,car_1_30.jpg,car_5_30.jpg,0.9998069
199,car_1_30.jpg,guitar_1_30.jpg,0.99996305
200,car_1_30.jpg,guitar_2_30.jpg,0.99978036
201,car_1_30.jpg,guitar_3_30.jpg,0.99976724
202,car_1_30.jpg,guitar_4_30.jpg,0.9999344
203,car_1_30.jpg,guitar_5_30.jpg,0.9999404
204,car_1_30.jpg,lamp_1_30.jpg,0.99990577
205,car_1_30.jpg,lamp_2_30.jpg,0.99987096
206,car_1_30.jpg,lamp_3_30.jpg,0.99974424
207,car_1_30.jpg,lamp_4_30.jpg,0.99947333
208,car_1_30.jpg,lamp_5_30.jpg,0.99980885
209,car_2_30.jpg,car_3_30.jpg,0.9998411
210,car_2_30.jpg,car_4_30.jpg,0.99976707
211,car_2_30.jpg,car_5_30.jpg,0.99952626
212,car_2_30.jpg,guitar_1_30.jpg,0.9999332
213,car_2_30.jpg,guitar_2_30.jpg,0.9999387
214,car_2_30.jpg,guitar_3_30.jpg,0.999931
215,car_2_30.jpg,guitar_4_30.jpg,0.9999566
216,car_2_30.jpg,guitar_5_30.jpg,0.99995846
217,car_2_30.jpg,lamp_1_30.jpg,0.9996992
218,car_2_30.jpg,lamp_2_30.jpg,0.9996462
219,car_2_30.jpg,lamp_3_30.jpg,0.99945104
220,car_2_30.jpg,lamp_4_30.jpg,0.99904275
221,car_2_30.jpg,lamp_5_30.jpg,0.9995342
222,car_3_30.jpg,car_4_30.jpg,0.9992279
223,car_3_30.jpg,car_5_30.jpg,0.9999154
224,car_3_30.jpg,guitar_1_30.jpg,0.99992627
225,car_3_30.jpg,guitar_2_30.jpg,0.9996369
226,car_3_30.jpg,guitar_3_30.jpg,0.99962264
227,car_3_30.jpg,guitar_4_30.jpg,0.9998692
228,car_3_30.jpg,guitar_5_30.jpg,0.99987715
229,car_3_30.jpg,lamp_1_30.jpg,0.9999654
230,car_3_30.jpg,lamp_2_30.jpg,0.99994737
231,car_3_30.jpg,lamp_3_30.jpg,0.99986047
232,car_3_30.jpg,lamp_4_30.jpg,0.9996585
233,car_3_30.jpg,lamp_5_30.jpg,0.99991316
234,car_4_30.jpg,car_5_30.jpg,0.99863684
235,car_4_30.jpg,guitar_1_30.jpg,0.99952
236,car_4_30.jpg,guitar_2_30.jpg,0.99988174
237,car_4_30.jpg,guitar_3_30.jpg,0.99988216
238,car_4_30.jpg,guitar_4_30.jpg,0.99963987
239,car_4_30.jpg,guitar_5_30.jpg,0.9996357
240,car_4_30.jpg,lamp_1_30.jpg,0.99895424
241,car_4_30.jpg,lamp_2_30.jpg,0.9988625
242,car_4_30.jpg,lamp_3_30.jpg,0.99853826
243,car_4_30.jpg,lamp_4_30.jpg,0.9978712
244,car_4_30.jpg,lamp_5_30.jpg,0.99865836
245,car_5_30.jpg,guitar_1_30.jpg,0.9997287
246,car_5_30.jpg,guitar_2_30.jpg,0.99922484
247,car_5_30.jpg,guitar_3_30.jpg,0.9992069
248,car_5_30.jpg,guitar_4_30.jpg,0.9996141
249,car_5_30.jpg,guitar_5_30.jpg,0.9996261
250,car_5_30.jpg,lamp_1_30.jpg,0.9999637
251,car_5_30.jpg,lamp_2_30.jpg,0.9999728
252,car_5_30.jpg,lamp_3_30.jpg,0.9999671
253,car_5_30.jpg,lamp_4_30.jpg,0.99990815
254,car_5_30.jpg,lamp_5_30.jpg,0.99999315
255,guitar_1_30.jpg,guitar_2_30.jpg,0.9998625
256,guitar_1_30.jpg,guitar_3_30.jpg,0.9998561
257,guitar_1_30.jpg,guitar_4_30.jpg,0.99998957
258,guitar_1_30.jpg,guitar_5_30.jpg,0.9999911
259,guitar_1_30.jpg,lamp_1_30.jpg,0.99987805
260,guitar_1_30.jpg,lamp_2_30.jpg,0.9998488
261,guitar_1_30.jpg,lamp_3_30.jpg,0.9997255
262,guitar_1_30.jpg,lamp_4_30.jpg,0.9993681
263,guitar_1_30.jpg,lamp_5_30.jpg,0.99975914
264,guitar_2_30.jpg,guitar_3_30.jpg,0.99999946
265,guitar_2_30.jpg,guitar_4_30.jpg,0.9999265
266,guitar_2_30.jpg,guitar_5_30.jpg,0.99992305
267,guitar_2_30.jpg,lamp_1_30.jpg,0.9994864
268,guitar_2_30.jpg,lamp_2_30.jpg,0.9994251
269,guitar_2_30.jpg,lamp_3_30.jpg,0.9992005
270,guitar_2_30.jpg,lamp_4_30.jpg,0.99865043
271,guitar_2_30.jpg,lamp_5_30.jpg,0.99926406
272,guitar_3_30.jpg,guitar_4_30.jpg,0.9999224
273,guitar_3_30.jpg,guitar_5_30.jpg,0.9999184
274,guitar_3_30.jpg,lamp_1_30.jpg,0.9994725
275,guitar_3_30.jpg,lamp_2_30.jpg,0.99941206
276,guitar_3_30.jpg,lamp_3_30.jpg,0.9991874
277,guitar_3_30.jpg,lamp_4_30.jpg,0.9986269
278,guitar_3_30.jpg,lamp_5_30.jpg,0.9992487
279,guitar_4_30.jpg,guitar_5_30.jpg,0.9999998
280,guitar_4_30.jpg,lamp_1_30.jpg,0.9997968
281,guitar_4_30.jpg,lamp_2_30.jpg,0.9997596
282,guitar_4_30.jpg,lamp_3_30.jpg,0.99961096
283,guitar_4_30.jpg,lamp_4_30.jpg,0.9991965
284,guitar_4_30.jpg,lamp_5_30.jpg,0.9996493
285,guitar_5_30.jpg,lamp_1_30.jpg,0.9998042
286,guitar_5_30.jpg,lamp_2_30.jpg,0.99976766
287,guitar_5_30.jpg,lamp_3_30.jpg,0.9996195
288,guitar_5_30.jpg,lamp_4_30.jpg,0.99921083
289,guitar_5_30.jpg,lamp_5_30.jpg,0.9996596
290,lamp_1_30.jpg,lamp_2_30.jpg,0.9999952
291,lamp_1_30.jpg,lamp_3_30.jpg,0.9999583
292,lamp_1_30.jpg,lamp_4_30.jpg,0.9998004
293,lamp_1_30.jpg,lamp_5_30.jpg,0.9999763
294,lamp_2_30.jpg,lamp_3_30.jpg,0.9999778
295,lamp_2_30.jpg,lamp_4_30.jpg,0.9998288
296,lamp_2_30.jpg,lamp_5_30.jpg,0.99998844
297,lamp_3_30.jpg,lamp_4_30.jpg,0.9999043
298,lamp_3_30.jpg,lamp_5_30.jpg,0.9999881
299,lamp_4_30.jpg,lamp_5_30.jpg,0.9998999
